"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.39494,9.51138,2025-01-13,"gbif"
"Impatiens glandulifera",47.30331,9.30054,2025-01-31,"gbif"
"Impatiens glandulifera",47.4031,8.18971,2025-01-08,"gbif"
"Impatiens glandulifera",47.40378,8.19036,2025-01-08,"gbif"
"Impatiens glandulifera",47.32772,9.39163,2025-01-31,"gbif"
"Impatiens glandulifera",47.37693,8.19179,2025-01-08,"gbif"
"Impatiens glandulifera",47.40407,8.19646,2025-01-08,"gbif"
"Impatiens glandulifera",47.40189,8.19791,2025-01-08,"gbif"
"Impatiens glandulifera",47.40278,8.18911,2025-01-08,"gbif"
"Impatiens glandulifera",47.37479,8.19983,2025-01-08,"gbif"
"Impatiens glandulifera",47.30343,9.25498,2025-01-31,"gbif"
"Impatiens glandulifera",47.30386,9.2498,2025-01-31,"gbif"
"Impatiens glandulifera",47.39556,8.18635,2025-01-08,"gbif"
"Impatiens glandulifera",47.3999,8.19258,2025-01-08,"gbif"
"Impatiens glandulifera",47.40176,8.19539,2025-01-08,"gbif"
"Impatiens glandulifera",47.39975,8.19865,2025-01-08,"gbif"
"Impatiens glandulifera",47.39913,8.1906,2025-01-08,"gbif"
"Impatiens glandulifera",47.39913,8.19697,2025-01-08,"gbif"
"Impatiens glandulifera",47.50297,8.90972,2025-02-05,"gbif"
"Impatiens glandulifera",47.51154,8.90131,2025-02-05,"gbif"
"Impatiens glandulifera",47.50547,8.89995,2025-02-05,"gbif"
"Impatiens glandulifera",47.41767,8.65399,2025-02-08,"gbif"
"Impatiens glandulifera",47.51997,8.90502,2025-02-04,"gbif"
"Impatiens glandulifera",47.51997,8.90876,2025-02-04,"gbif"
"Impatiens glandulifera",47.50977,8.8999,2025-02-05,"gbif"
"Impatiens glandulifera",47.50455,8.89914,2025-02-05,"gbif"
"Impatiens glandulifera",47.41894,8.65024,2025-02-08,"gbif"
"Impatiens glandulifera",47.50322,8.90701,2025-02-05,"gbif"
"Impatiens glandulifera",47.5136,8.90526,2025-02-05,"gbif"
"Impatiens glandulifera",47.5185,8.90485,2025-02-04,"gbif"
"Impatiens glandulifera",47.23014,8.97684,2025-02-14,"gbif"
"Impatiens glandulifera",47.23091,8.96364,2025-02-14,"gbif"
"Impatiens glandulifera",47.22972,8.98918,2025-02-14,"gbif"
"Impatiens glandulifera",47.22783,8.97466,2025-02-14,"gbif"
"Impatiens glandulifera",47.41086,8.07986,2025-02-26,"gbif"
"Impatiens glandulifera",47.32091,8.10716,2025-02-17,"gbif"
"Impatiens glandulifera",47.31063,8.12178,2025-02-18,"gbif"
"Impatiens glandulifera",47.41124,8.07831,2025-02-26,"gbif"
"Impatiens glandulifera",47.32227,8.09521,2025-02-17,"gbif"
"Impatiens glandulifera",47.31022,8.1121,2025-02-13,"gbif"
"Impatiens glandulifera",47.4242,8.06956,2025-02-26,"gbif"
"Impatiens glandulifera",47.32006,8.09758,2025-02-17,"gbif"
"Impatiens glandulifera",47.31051,8.1214,2025-02-18,"gbif"
"Impatiens glandulifera",47.32267,8.09438,2025-02-17,"gbif"
"Impatiens glandulifera",47.579021,8.887305,2025-03-28,"gbif"
"Impatiens glandulifera",47.579115,8.8881,2025-03-28,"gbif"
"Impatiens glandulifera",47.42016,8.65419,2025-03-01,"gbif"
"Impatiens glandulifera",47.42085,8.65458,2025-03-01,"gbif"
"Impatiens glandulifera",47.40983,8.6684,2025-03-22,"gbif"
"Impatiens glandulifera",47.41017,8.66921,2025-03-22,"gbif"
"Impatiens glandulifera",47.40973,8.66942,2025-03-22,"gbif"
"Impatiens glandulifera",47.51432,9.05676,2025-03-13,"gbif"
"Impatiens glandulifera",47.41001,8.67003,2025-03-22,"gbif"
"Impatiens glandulifera",47.45343,9.52482,2025-03-03,"gbif"
"Impatiens glandulifera",47.45359,9.52497,2025-03-03,"gbif"
"Impatiens glandulifera",47.42532,8.10165,2025-03-10,"gbif"
"Impatiens glandulifera",47.33183,8.09232,2025-03-10,"gbif"
"Impatiens glandulifera",47.45698,8.09975,2025-03-10,"gbif"
"Impatiens glandulifera",47.45688,8.09777,2025-03-15,"gbif"
"Impatiens glandulifera",47.42393,8.09706,2025-03-10,"gbif"
"Impatiens glandulifera",47.42607,8.10655,2025-03-10,"gbif"
"Impatiens glandulifera",47.40904,8.20155,2025-03-02,"gbif"
"Impatiens glandulifera",47.42783,8.1031,2025-03-10,"gbif"
"Impatiens glandulifera",46.78223,9.24869,2025-04-22,"gbif"
"Impatiens glandulifera",47.47431,8.18881,2025-04-25,"gbif"
"Impatiens glandulifera",47.56359,8.8957,2025-04-27,"gbif"
"Impatiens glandulifera",47.53356,7.62202,2025-04-17,"gbif"
"Impatiens glandulifera",47.47436,8.18853,2025-04-25,"gbif"
"Impatiens glandulifera",47.53375,7.622,2025-04-17,"gbif"
"Impatiens glandulifera",46.17261,8.87426,2025-04-08,"gbif"
"Impatiens glandulifera",46.33374,8.80494,2025-04-26,"gbif"
"Impatiens glandulifera",47.56362,8.89574,2025-04-27,"gbif"
"Impatiens glandulifera",47.47399,8.18966,2025-04-25,"gbif"
"Impatiens glandulifera",47.53396,7.62226,2025-04-17,"gbif"
"Impatiens glandulifera",47.55224,8.98422,2025-04-26,"gbif"
"Impatiens glandulifera",47.47509,8.18778,2025-04-10,"gbif"
"Impatiens glandulifera",47.24968,9.50289,2025-04-29,"gbif"
"Impatiens glandulifera",47.57904,8.88729,2025-04-27,"gbif"
"Impatiens glandulifera",46.65752,6.95081,2025-04-26,"gbif"
"Impatiens glandulifera",47.27604,7.97739,2025-04-25,"gbif"
"Impatiens glandulifera",47.27509,7.98009,2025-04-25,"gbif"
"Impatiens glandulifera",47.43932,9.15623,2025-04-23,"gbif"
